"Lang","List","ID","Size","Orientation","Match","RT","ACC"
"C","C_List03.csv","22","S","H","N",786,50
"C","C_List03.csv","22","S","H","Y",797,87.5
"C","C_List03.csv","22","S","V","N",782,87.5
"C","C_List03.csv","22","S","V","Y",889,87.5
"C","C_List03.csv","27","L","H","N",558.5,100
"C","C_List03.csv","27","L","H","Y",519,87.5
"C","C_List03.csv","27","L","V","N",613,87.5
"C","C_List03.csv","27","L","V","Y",617,100
"C","C_List03.csv","27","S","H","N",493.5,75
"C","C_List03.csv","27","S","H","Y",544,100
"C","C_List03.csv","27","S","V","N",628,87.5
"C","C_List03.csv","27","S","V","Y",611,100
"C","C_List03.csv","28","L","H","N",548,87.5
"C","C_List03.csv","28","L","H","Y",595,87.5
"C","C_List03.csv","28","L","V","N",649,87.5
"C","C_List03.csv","28","L","V","Y",570,100
"C","C_List03.csv","28","S","H","N",533.5,100
"C","C_List03.csv","28","S","H","Y",470,87.5
"C","C_List03.csv","28","S","V","N",483,87.5
"C","C_List03.csv","28","S","V","Y",446,87.5
"C","C_List03.csv","3","L","H","N",805,87.5
"C","C_List03.csv","3","L","H","Y",655.5,100
"C","C_List03.csv","3","L","V","N",812.5,100
"C","C_List03.csv","3","L","V","Y",879,100
"C","C_List03.csv","3","S","H","N",739,75
"C","C_List03.csv","3","S","H","Y",752,100
"C","C_List03.csv","3","S","V","N",711,87.5
"C","C_List03.csv","3","S","V","Y",709.5,100
"C","C_List03.csv","33","L","H","N",563,87.5
"C","C_List03.csv","33","L","H","Y",794.5,100
"C","C_List03.csv","33","L","V","N",703,87.5
"C","C_List03.csv","33","L","V","Y",848.5,100
"C","C_List03.csv","33","S","H","N",639,62.5
"C","C_List03.csv","33","S","H","Y",551,100
"C","C_List03.csv","33","S","V","N",605,100
"C","C_List03.csv","33","S","V","Y",717,100
"C","C_List03.csv","38","L","H","N",703,87.5
"C","C_List03.csv","38","L","H","Y",593.5,100
"C","C_List03.csv","38","L","V","N",749,100
"C","C_List03.csv","38","L","V","Y",588,87.5
"C","C_List03.csv","38","S","H","N",621,87.5
"C","C_List03.csv","38","S","H","Y",748,87.5
"C","C_List03.csv","38","S","V","N",506,87.5
"C","C_List03.csv","38","S","V","Y",665,100
"C","C_List03.csv","4","L","H","N",642,87.5
"C","C_List03.csv","4","L","H","Y",810,100
"C","C_List03.csv","4","L","V","N",762,87.5
"C","C_List03.csv","4","L","V","Y",653.5,100
"C","C_List03.csv","4","S","H","N",535,87.5
"C","C_List03.csv","4","S","H","Y",581.5,100
"C","C_List03.csv","4","S","V","N",630,100
"C","C_List03.csv","4","S","V","Y",542,87.5
"C","C_List03.csv","43","L","H","N",888.5,100
"C","C_List03.csv","43","L","H","Y",850,87.5
"C","C_List03.csv","43","L","V","N",927,87.5
"C","C_List03.csv","43","L","V","Y",883,62.5
"C","C_List03.csv","43","S","H","N",687,100
"C","C_List03.csv","43","S","H","Y",753,87.5
"C","C_List03.csv","43","S","V","N",801,87.5
"C","C_List03.csv","43","S","V","Y",812,100
"C","C_List03.csv","44","L","H","N",554.5,100
"C","C_List03.csv","44","L","H","Y",524,100
"C","C_List03.csv","44","L","V","N",785,100
"C","C_List03.csv","44","L","V","Y",678.5,100
"C","C_List03.csv","44","S","H","N",534.5,100
"C","C_List03.csv","44","S","H","Y",526.5,100
"C","C_List03.csv","44","S","V","N",572,100
"C","C_List03.csv","44","S","V","Y",651,100
"C","C_List03.csv","49","L","H","N",672,100
"C","C_List03.csv","49","L","H","Y",657.5,100
"C","C_List03.csv","49","L","V","N",600,75
"C","C_List03.csv","49","L","V","Y",861,87.5
"C","C_List03.csv","49","S","H","N",595.5,75
"C","C_List03.csv","49","S","H","Y",664.5,100
"C","C_List03.csv","49","S","V","N",617.5,100
"C","C_List03.csv","49","S","V","Y",612.5,100
"C","C_List03.csv","9","L","H","N",609,100
"C","C_List03.csv","9","L","H","Y",560,87.5
"C","C_List03.csv","9","L","V","N",616.5,100
"C","C_List03.csv","9","L","V","Y",787,100
"C","C_List03.csv","9","S","H","N",622.5,100
"C","C_List03.csv","9","S","H","Y",581.5,100
"C","C_List03.csv","9","S","V","N",574,100
"C","C_List03.csv","9","S","V","Y",593.5,100
"C","C_List04.csv","10","L","H","N",650,87.5
"C","C_List04.csv","10","L","H","Y",676.5,100
"C","C_List04.csv","10","L","V","N",639,87.5
"C","C_List04.csv","10","L","V","Y",654.5,100
"C","C_List04.csv","10","S","H","N",569.5,75
"C","C_List04.csv","10","S","H","Y",554,100
