"Lang","List","ID","LN_RT","LY_RT","SN_RT","SY_RT","LN_ACC","LY_ACC","SN_ACC","SY_ACC"
"E","SP_List1","5211472",650.08740234375,593.425048828125,533.47509765625,563.097534179688,100,81.25,93.75,100
"E","SP_List4","5270004",594.397583007812,645.5,586.019897460938,580.282470703125,75,87.5,75,100
"E","SP_List2","5282778",762.5,722.5,888.9951171875,739.00244140625,75,87.5,68.75,100
"E","SP_List1","5292241",666.309936523438,546.519897460938,563.287475585938,599.93505859375,100,100,100,93.75
"C","C_List02.csv","53",703.5,626,592,545,62.5,100,87.5,93.75
"E","SP_List1","5380082",829.484130859375,812.578125,693.3359375,907.3203125,100,87.5,87.5,93.75
"E","SP_List3","538327",692.367065429688,813.656372070312,694.823852539062,686.85302734375,87.5,100,100,100
"E","SP_List2","5549020",808.79248046875,658.56982421875,617.7373046875,703.199951171875,100,93.75,100,93.75
"E","SP_List4","5557920",688.53515625,786.487548828125,608.3798828125,722.89501953125,100,100,100,93.75
"E","SP_List4","5656906",727.72998046875,738.694946289062,636.68017578125,683.2900390625,93.75,87.5,100,93.75
"E","SP_List3","5659376",557.520263671875,505.465087890625,561.4150390625,610.7646484375,100,93.75,93.75,93.75
"E","SP_List3","5661038",770.549926757812,654.414916992188,700.222534179688,688.385009765625,87.5,100,87.5,93.75
"E","SP_List3","5684590",1017.982421875,878.43017578125,801.857543945312,792.825073242188,87.5,81.25,87.5,100
"E","SP_List4","5756652",647.1298828125,689.385009765625,633.487670898438,637.695068359375,100,81.25,100,93.75
"E","SP_List4","5757626",516.340087890625,539.302490234375,588.14501953125,468.9150390625,93.75,100,93.75,93.75
"E","SP_List2","5806513",678.617553710938,669.559814453125,703.382446289062,695.97998046875,87.5,93.75,100,100
"E","SP_List4","5847602",680.2724609375,688.502563476562,577.839965820312,522.89013671875,100,87.5,100,93.75
"E","SP_List2","5879769",829.48486328125,815.72998046875,731.8798828125,736.699951171875,87.5,100,100,93.75
"C","C_List01.csv","6",752.5,759,622,570,87.5,93.75,81.25,93.75
"D","D_List03.csv","6",622,596.5,559.5,550,93.75,100,87.5,93.75
"E","SP_List4","6034619",640.562255859375,655.494384765625,528.39501953125,559.568603515625,93.75,93.75,81.25,93.75
"E","SP_List3","6275750",744.00244140625,603.5,526,544.99755859375,87.5,87.5,100,100
"E","SP_List1","6330457",508.055053710938,464.135009765625,477.89013671875,426.597534179688,100,100,93.75,87.5
"E","SP_List4","6366544",813.98486328125,771.175048828125,876.719848632812,897.625,93.75,93.75,87.5,87.5
"E","SP_List1","6393370",664.50244140625,674,779,676,100,93.75,93.75,93.75
"E","SP_List2","6539081",666.183227539062,629.4794921875,512.697998046875,600.495361328125,100,100,93.75,100
"E","SP_List3","6547204",775.727416992188,703.6650390625,793.757568359375,721.835083007812,87.5,93.75,100,100
"E","SP_List1","6570561",806,775,803.00244140625,827,81.25,100,100,100
"E","SP_List1","6580749",852.739990234375,834.5,702.167602539062,717.97021484375,100,93.75,100,93.75
"E","SP_List2","6590967",579.199951171875,541.150146484375,538.869873046875,532.71484375,81.25,100,100,93.75
"E","SP_List1","6627597",679,705,617.5,634.99755859375,81.25,87.5,87.5,100
"E","SP_List3","6654387",673,735,607.9951171875,603.49755859375,81.25,81.25,93.75,87.5
"E","SP_List3","670453",534.577514648438,536.35498046875,455.150024414062,496.472412109375,100,93.75,100,100
"E","SP_List2","6807972",552.5,590,566,508.99755859375,100,93.75,100,100
"E","SP_List4","6906579",535.157470703125,661.974975585938,544.160034179688,650.66015625,87.5,100,75,81.25
"E","SP_List1","6960615",675.555053710938,584.052612304688,559.119873046875,593.882568359375,100,87.5,93.75,100
"C","C_List02.csv","7",652,705,613,734,93.75,93.75,93.75,93.75
"D","D_List04.csv","7",684,772,677.5,658.5,100,93.75,87.5,100
"E","SP_List3","7039984",615.655029296875,605.221557617188,588.702392578125,519.06494140625,100,100,100,93.75
"E","SP_List1","7056067",785.442504882812,812.467529296875,723.052490234375,747.535034179688,87.5,100,100,100
"E","SP_List4","7084523",503.042602539062,503.717407226562,477.445068359375,465.7998046875,100,100,100,93.75
"E","SP_List4","7245640",598.36328125,733.572509765625,579.580810546875,571.521362304688,87.5,93.75,87.5,100
"E","SP_List4","7311671",880.489990234375,939.85009765625,782.284912109375,1006.55249023438,93.75,81.25,93.75,87.5
"E","SP_List3","7366707",659.482543945312,688.552490234375,616.074951171875,622.359985351562,100,100,100,100
"E","SP_List3","7443356",713.150146484375,566.474975585938,555.81494140625,578.239990234375,93.75,75,93.75,87.5
"E","SP_List4","7483916",593.49755859375,603.49755859375,527,555.5,100,87.5,93.75,100
"E","SP_List1","7560170",837.800048828125,663.425048828125,666.947387695312,675.219970703125,93.75,93.75,100,93.75
"E","SP_List1","7733744",521.0673828125,534.812377929688,549.77001953125,557.77490234375,100,100,93.75,93.75
"E","SP_List2","778602",668.040161132812,617.027587890625,574.50244140625,580.650024414062,87.5,87.5,100,87.5
"E","SP_List4","779337",711.059936523438,830.525146484375,711.017456054688,628.905029296875,100,93.75,100,93.75
"E","SP_List3","7824252",778.295166015625,690.280029296875,648.39501953125,696.81005859375,81.25,93.75,93.75,93.75
"E","SP_List2","7892798",635.757446289062,642.454833984375,606.017333984375,570.929931640625,87.5,93.75,87.5,93.75
"E","SP_List2","7957756",607.0048828125,635.99755859375,538,609.00244140625,93.75,62.5,93.75,87.5
"C","C_List02.csv","8",566,532.5,500.5,532.5,93.75,100,100,100
"D","D_List04.csv","8",584.5,584,590,582.5,87.5,93.75,93.75,87.5
"E","SP_List4","8037171",863.905029296875,863.02490234375,819.4951171875,808.385009765625,93.75,93.75,81.25,81.25
"E","SP_List3","8137192",733.075073242188,700.375,615.132568359375,648.37255859375,100,93.75,100,100
"E","SP_List4","8224252",647.177490234375,678.039916992188,644.705078125,648.792602539062,100,100,100,100
"E","SP_List2","8267729",614.135009765625,694.405029296875,643.2724609375,646.897583007812,93.75,100,100,100
"E","SP_List1","8308999",747.679931640625,639.640014648438,663.8798828125,599.682495117188,100,100,93.75,100
"E","SP_List4","8365526",595.559936523438,612.8798828125,568.429931640625,551.432495117188,100,100,93.75,100
"E","SP_List2","8413180",705.00244140625,655,580,607,100,93.75,93.75,100
"E","SP_List2","8565024",679.00244140625,668.0048828125,680.9951171875,532.49755859375,87.5,93.75,93.75,100
"E","SP_List3","8921175",841.75244140625,799.905029296875,716.425048828125,667.135009765625,75,100,75,68.75
"C","C_List03.csv","9",609.5,655,611,590,100,93.75,100,100
"D","D_List01.csv","9",698.5,654,722.5,617,100,93.75,100,93.75
"E","SP_List4","9097430",613.387573242188,614.057495117188,563.525024414062,577.699951171875,100,100,87.5,93.75
"E","SP_List2","9132668",661.050048828125,642.5751953125,537.574951171875,566.522583007812,93.75,93.75,87.5,100
"E","SP_List3","9191049",631.22509765625,630.525024414062,543.010131835938,662.847534179688,93.75,100,100,100
"E","SP_List3","9200724",578.56494140625,484.60498046875,474.60498046875,424.10498046875,93.75,93.75,93.75,81.25
"E","SP_List2","9567626",729.00244140625,674.49755859375,661,618,100,100,93.75,93.75
"E","SP_List4","9588010",612.6650390625,585.180053710938,537.5625,502.580078125,93.75,100,100,93.75
"E","SP_List4","9648548",660.50244140625,660.0048828125,620.5,667,100,93.75,87.5,68.75
"E","SP_List1","969922",597.800048828125,527.3349609375,510.49267578125,510.7099609375,100,93.75,87.5,93.75
"E","SP_List2","9917421",835.10498046875,714.702514648438,750.045166015625,615.300048828125,93.75,100,93.75,93.75
