"Lang","List","ID","LHN_RT","LHY_RT","LVN_RT","LVY_RT","SHN_RT","SHY_RT","SVN_RT","SVY_RT","LHN_ACC","LHY_ACC","LVN_ACC","LVY_ACC","SHN_ACC","SHY_ACC","SVN_ACC","SVY_ACC"
"E","SP_List1","362184",849.489990234375,852.869873046875,684.31005859375,690.5849609375,864.717529296875,737.289916992188,665.83251953125,626.91748046875,87.5,87.5,100,100,75,75,100,100
"C","C_List02.csv","37",1196,871,889,1255.5,756.5,656,692,802,87.5,87.5,100,100,100,87.5,62.5,100
"E","SP_List1","3702814",781.49755859375,520,717,571,582.5,646.0048828125,735.9951171875,590.4951171875,100,87.5,87.5,87.5,100,87.5,87.5,100
"E","SP_List2","371008",595.00244140625,605.0048828125,604,588,642,632,636.50244140625,549.5,100,87.5,62.5,100,100,100,100,100
"E","SP_List4","3723208",559.5,510.5,573,615.5,520,539.5,518.99755859375,469,75,100,100,100,87.5,100,100,100
"C","C_List03.csv","38",703,593.5,749,588,621,748,506,665,87.5,100,100,87.5,87.5,87.5,87.5,100
"C","C_List04.csv","39",822,893,796,698.5,739,692,794,655,87.5,100,87.5,75,87.5,100,100,87.5
"E","SP_List2","3927406",830,697,878.9951171875,913,698.5,659.5,728,895.5,100,100,87.5,87.5,100,100,87.5,100
"C","C_List03.csv","4",642,810,762,653.5,535,581.5,630,542,87.5,100,87.5,100,87.5,100,100,87.5
"D","D_List01.csv","4",563.5,638,660,700.5,567.5,531.5,564.5,471,100,100,100,100,100,100,100,87.5
"C","C_List04.csv","40",765,651,729,807,641.5,746.5,676,651,100,87.5,75,100,100,100,87.5,75
"C","C_List01.csv","41",705.5,674,609,625,640,656,583,624,100,100,100,100,100,100,87.5,87.5
"E","SP_List1","4115814",961.615112304688,748.2275390625,861.309814453125,794.592529296875,770.875,703.557373046875,816.9150390625,731.397583007812,100,100,87.5,100,87.5,100,100,100
"E","SP_List2","4183262",674.010009765625,768.60009765625,749.579833984375,701.717529296875,690.69482421875,686.802368164062,767.550048828125,771.927490234375,87.5,87.5,87.5,100,87.5,100,62.5,100
"E","SP_List4","4195548",721.5,613.00244140625,610.5,599.5,770.5,760,545,733,100,100,100,100,100,100,87.5,87.5
"C","C_List02.csv","42",731,635,594,545.5,608.5,560.5,526,582,100,62.5,100,100,100,75,100,87.5
"E","SP_List3","4293320",675.042602539062,654.2900390625,577.364990234375,621.18994140625,499.257446289062,450.094970703125,434.7099609375,512.452514648438,100,87.5,62.5,100,75,87.5,87.5,100
"E","SP_List3","4295409",833.08251953125,993.420043945312,898.175048828125,971.447387695312,872.77001953125,770.3525390625,859.260009765625,681.27001953125,100,75,100,100,100,100,100,100
"C","C_List03.csv","43",888.5,850,927,883,687,753,801,812,100,87.5,87.5,62.5,100,87.5,87.5,100
"E","SP_List1","4370003",741,741,717.5,834.5,585,655,624,608.5,100,100,100,100,100,100,87.5,100
"C","C_List03.csv","44",554.5,524,785,678.5,534.5,526.5,572,651,100,100,100,100,100,100,100,100
"E","SP_List2","444041",1105.74755859375,885.742431640625,918.14013671875,992.0849609375,862.859985351562,1033.7626953125,984.222412109375,883.784912109375,75,100,87.5,75,100,100,100,87.5
"E","SP_List1","4467541",417,351.422485351562,378.052490234375,294.505126953125,306.655029296875,289.735107421875,309.892456054688,274.800048828125,87.5,100,75,87.5,87.5,87.5,100,100
"E","SP_List1","4477833",867.342651367188,863.27001953125,637.135009765625,759.432495117188,791.417358398438,839.64501953125,743.145141601562,943.280029296875,100,87.5,62.5,75,100,62.5,100,100
"C","C_List04.csv","45",704,634.5,741,549,607.5,558.5,619,487.5,100,100,62.5,87.5,100,75,62.5,75
