"Lang","List","ID","Size","Orientation","Match","RT","ACC"
"English","SP_List1","5292241","L","V","N",683.494995117188,100
"English","SP_List1","5292241","L","V","Y",590.33251953125,100
"English","SP_List1","5292241","S","H","N",563.287475585938,100
"English","SP_List1","5292241","S","H","Y",599.93505859375,87.5
"English","SP_List1","5292241","S","V","N",584.052368164062,100
"English","SP_List1","5292241","S","V","Y",590.85498046875,100
"English","SP_List1","5380082","L","H","N",956.297607421875,100
"English","SP_List1","5380082","L","H","Y",780.074462890625,100
"English","SP_List1","5380082","L","V","N",757.855590820312,100
"English","SP_List1","5380082","L","V","Y",853.672485351562,75
"English","SP_List1","5380082","S","H","N",706.3623046875,87.5
"English","SP_List1","5380082","S","H","Y",861.197021484375,100
"English","SP_List1","5380082","S","V","N",675.634765625,87.5
"English","SP_List1","5380082","S","V","Y",939.647216796875,87.5
"English","SP_List1","6393370","L","H","N",623.00244140625,100
"English","SP_List1","6393370","L","H","Y",863,87.5
"English","SP_List1","6393370","L","V","N",789.5,100
"English","SP_List1","6393370","L","V","Y",587,100
"English","SP_List1","6393370","S","H","N",745,100
"English","SP_List1","6393370","S","H","Y",650.5,100
"English","SP_List1","6393370","S","V","N",798,87.5
"English","SP_List1","6393370","S","V","Y",676,87.5
"English","SP_List1","6570561","L","H","N",781.50244140625,75
"English","SP_List1","6570561","L","H","Y",837.49755859375,100
"English","SP_List1","6570561","L","V","N",806,87.5
"English","SP_List1","6570561","L","V","Y",755.5048828125,100
"English","SP_List1","6570561","S","H","N",683.99755859375,100
"English","SP_List1","6570561","S","H","Y",885,100
"English","SP_List1","6570561","S","V","N",1059.00244140625,100
"English","SP_List1","6570561","S","V","Y",782.99755859375,100
"english","SP_List1","6580749","L","H","N",820.582397460938,100
"english","SP_List1","6580749","L","H","Y",830.175048828125,100
"english","SP_List1","6580749","L","V","N",930.494995117188,100
"english","SP_List1","6580749","L","V","Y",917.294921875,87.5
"english","SP_List1","6580749","S","H","N",808.767456054688,100
"english","SP_List1","6580749","S","H","Y",571.360107421875,87.5
"english","SP_List1","6580749","S","V","N",639.502563476562,100
"english","SP_List1","6580749","S","V","Y",817.227416992188,100
"english","SP_List1","6627597","L","H","N",637,87.5
"english","SP_List1","6627597","L","H","Y",653,87.5
"english","SP_List1","6627597","L","V","N",694,75
"english","SP_List1","6627597","L","V","Y",757,87.5
"english","SP_List1","6627597","S","H","N",591,100
"english","SP_List1","6627597","S","H","Y",660.5,100
"english","SP_List1","6627597","S","V","N",753.5,75
"english","SP_List1","6627597","S","V","Y",632.99755859375,100
"English","SP_List1","6960615","L","H","N",726.605102539062,100
"English","SP_List1","6960615","L","H","Y",594.175048828125,87.5
"English","SP_List1","6960615","L","V","N",645.654907226562,100
"English","SP_List1","6960615","L","V","Y",533.83984375,87.5
"English","SP_List1","6960615","S","H","N",558.06005859375,87.5
"English","SP_List1","6960615","S","H","Y",610.182495117188,100
"English","SP_List1","6960615","S","V","N",595.715087890625,100
"English","SP_List1","6960615","S","V","Y",532.650024414062,100
"english","SP_List1","7560170","L","H","N",899.684936523438,100
"english","SP_List1","7560170","L","H","Y",662.960083007812,100
"english","SP_List1","7560170","L","V","N",804.705078125,87.5
"english","SP_List1","7560170","L","V","Y",683.639892578125,87.5
"english","SP_List1","7560170","S","H","N",642.087524414062,100
"english","SP_List1","7560170","S","H","Y",742.79248046875,100
"english","SP_List1","7560170","S","V","N",807.492553710938,100
"english","SP_List1","7560170","S","V","Y",595.275146484375,87.5
"English","SP_List1","7733744","L","H","N",521.0673828125,100
"English","SP_List1","7733744","L","H","Y",588.5,100
"English","SP_List1","7733744","L","V","N",544.02001953125,100
"English","SP_List1","7733744","L","V","Y",534.812377929688,100
"English","SP_List1","7733744","S","H","N",517.514892578125,87.5
"English","SP_List1","7733744","S","H","Y",531.967407226562,100
"English","SP_List1","7733744","S","V","N",608.96240234375,100
"English","SP_List1","7733744","S","V","Y",567.525146484375,87.5
"english","SP_List1","8308999","L","H","N",679.0224609375,100
"english","SP_List1","8308999","L","H","Y",589.462646484375,100
"english","SP_List1","8308999","L","V","N",770.815063476562,100
"english","SP_List1","8308999","L","V","Y",693.842529296875,100
"english","SP_List1","8308999","S","H","N",712.49755859375,100
"english","SP_List1","8308999","S","H","Y",601.737426757812,100
"english","SP_List1","8308999","S","V","N",601.22998046875,87.5
"english","SP_List1","8308999","S","V","Y",594.344970703125,100
"English","SP_List1","8383650","L","H","N",656.81494140625,100
"English","SP_List1","8383650","L","H","Y",762.572509765625,75
"English","SP_List1","8383650","L","V","N",703.912475585938,100
