"Lang","List","ID","Size","Match","RT","ACC"
"English","SP_List2","2716281","L","N",613.3349609375,93.75
"English","SP_List2","2716281","L","Y",626.66748046875,100
"English","SP_List2","2716281","S","N",555.329833984375,93.75
"English","SP_List2","2716281","S","Y",534.869995117188,100
"English","SP_List2","3081825","L","N",702,93.75
"English","SP_List2","3081825","L","Y",670.5,75
"English","SP_List2","3081825","S","N",702.5,100
"English","SP_List2","3081825","S","Y",640,93.75
"english","SP_List2","3086911","L","N",796,93.75
"english","SP_List2","3086911","L","Y",843.5,100
"english","SP_List2","3086911","S","N",685,93.75
"english","SP_List2","3086911","S","Y",692,100
"english","SP_List2","3422009","L","N",562.50244140625,87.5
"english","SP_List2","3422009","L","Y",697.0048828125,81.25
"english","SP_List2","3422009","S","N",598.49755859375,87.5
"english","SP_List2","3422009","S","Y",591,87.5
"english","SP_List2","3582108","L","N",745.695068359375,100
"english","SP_List2","3582108","L","Y",693.48486328125,87.5
"english","SP_List2","3582108","S","N",592.054931640625,81.25
"english","SP_List2","3582108","S","Y",577.900146484375,81.25
"english","SP_List2","371008","L","N",604,81.25
"english","SP_List2","371008","L","Y",605.0048828125,93.75
"english","SP_List2","371008","S","N",642,100
"english","SP_List2","371008","S","Y",595,100
"English","SP_List2","3927406","L","N",878.9951171875,93.75
"English","SP_List2","3927406","L","Y",708,93.75
"English","SP_List2","3927406","S","N",724,93.75
"English","SP_List2","3927406","S","Y",729,100
"English","SP_List2","4183262","L","N",734.737548828125,87.5
"English","SP_List2","4183262","L","Y",729.39990234375,93.75
"English","SP_List2","4183262","S","N",735.597534179688,75
"English","SP_List2","4183262","S","Y",749.6474609375,100
"English","SP_List2","444041","L","N",1053.625,81.25
"English","SP_List2","444041","L","Y",904.037475585938,87.5
"English","SP_List2","444041","S","N",939.302490234375,100
"English","SP_List2","444041","S","Y",1021.39501953125,93.75
"English","SP_List2","4904002","L","N",646.692504882812,87.5
"English","SP_List2","4904002","L","Y",630.192504882812,100
"English","SP_List2","4904002","S","N",642.997436523438,100
"English","SP_List2","4904002","S","Y",558.002563476562,100
"english","SP_List2","5549020","L","N",808.79248046875,100
"english","SP_List2","5549020","L","Y",658.56982421875,93.75
"english","SP_List2","5549020","S","N",617.7373046875,100
"english","SP_List2","5549020","S","Y",703.199951171875,93.75
"english","SP_List2","5806513","L","N",678.617553710938,87.5
"english","SP_List2","5806513","L","Y",669.559814453125,93.75
"english","SP_List2","5806513","S","N",703.382446289062,100
"english","SP_List2","5806513","S","Y",695.97998046875,100
