"Lang","Gender","Age","ID","List","Trial_Seq","Size","Orien","Match","Item_index","sentence_read_time","Target_response_time","correct","Comprehension_correct","datetime"
"english","Female","53","155821","SP_List3","65","F","F","F","102","1026.80517578125","909.755126953125",1,1,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","122","F","F","F","103","1083.565185546875","866.68017578125",1,1,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","76","F","F","F","104","1155.135009765625","1036.68505859375",1,1,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","22","F","F","F","105","1731.64501953125","1089.69482421875",1,1,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","55","F","F","F","106","1203.81982421875","951.385009765625",1,0,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","106","F","F","F","107","709.83984375","929.9150390625",1,1,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","104","F","F","F","108","857.114990234375","880.614990234375",1,1,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","97","F","F","F","109","862.175048828125","1028.679931640625",1,1,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","78","F","F","F","110","922.2900390625","1128.320068359375",1,1,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","109","F","F","F","111","1393.73486328125","945.295166015625",1,1,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","88","F","F","F","112","1422.330078125","1118.300048828125",0,1,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","75","F","F","F","113","1095.534912109375","1046.4599609375",0,1,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","107","F","F","F","114","1357.885009765625","871.76513671875",1,1,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","20","F","F","F","115","1359.02490234375","823.445068359375",1,1,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","120","F","F","F","116","856.635009765625","1030.93994140625",1,1,"2016-12-07 14:54:50"
