"","List","ID","Size","Match","RT","ACC"
"199","List2","pilot1027050","S","N",527.5,100
"200","List2","pilot1027050","S","Y",627.945068359375,85.7142857142857
"201","List3","pilot1027051","L","N",631.985107421875,91.6666666666667
"202","List3","pilot1027051","L","Y",548.139892578125,91.6666666666667
"203","List3","pilot1027051","S","N",544.744873046875,100
"204","List3","pilot1027051","S","Y",593.449951171875,100
"205","List3","pilot1027052","L","N",547.369995117188,90
"206","List3","pilot1027052","L","Y",634.702514648438,90
"207","List3","pilot1027052","S","N",574.199951171875,100
"208","List3","pilot1027052","S","Y",603,100
"209","List3","pilot1027053","L","N",595,100
"210","List3","pilot1027053","L","Y",557.440185546875,100
"211","List3","pilot1027053","S","N",672.875,95
"212","List3","pilot1027053","S","Y",501.067626953125,83.3333333333333
"213","List3","pilot1027054","L","N",555.717407226562,85.7142857142857
"214","List3","pilot1027054","L","Y",572.357177734375,94.7368421052632
"215","List3","pilot1027054","S","N",613.72998046875,95
"216","List3","pilot1027054","S","Y",624.0048828125,100
"217","List3","pilot1027055","L","N",563,78.5714285714286
"218","List3","pilot1027055","L","Y",587.920166015625,90
"219","List3","pilot1027055","S","N",621.0712890625,94.7368421052632
"220","List3","pilot1027055","S","Y",590.0048828125,92.3076923076923
"221","List3","pilot1027056","L","N",581.85986328125,77.2727272727273
"222","List3","pilot1027056","L","Y",664,94.4444444444444
"223","List3","pilot1027056","S","N",570.322509765625,94.7368421052632
"224","List3","pilot1027056","S","Y",618.9951171875,100
"225","List3","pilot1027057","L","N",520.574951171875,84.6153846153846
"226","List3","pilot1027057","L","Y",559.739990234375,81.8181818181818
"227","List3","pilot1027057","S","N",699.31005859375,100
"228","List3","pilot1027057","S","Y",519.497436523438,100
"229","List3","pilot1027058","L","N",575.482421875,72.7272727272727
"230","List3","pilot1027058","L","Y",608.010009765625,100
"231","List3","pilot1027058","S","N",571.997436523438,84.2105263157895
"232","List3","pilot1027058","S","Y",607.914916992188,92.3076923076923
"233","List3","pilot1027059","L","N",578.835083007812,83.3333333333333
"234","List3","pilot1027059","L","Y",592.530029296875,91.6666666666667
"235","List3","pilot1027059","S","N",670.260009765625,100
"236","List3","pilot1027059","S","Y",550.2900390625,100
"237","List3","pilot1027060","L","N",580.059814453125,85
"238","List3","pilot1027060","L","Y",625.367431640625,70
"239","List3","pilot1027060","S","N",593.367553710938,77.7777777777778
"240","List3","pilot1027060","S","Y",608.9326171875,100
"241","List3","pilot1027061","L","N",609.985107421875,91.6666666666667
"242","List3","pilot1027061","L","Y",632.199951171875,91.6666666666667
"243","List3","pilot1027061","S","N",654.472534179688,94.1176470588235
"244","List3","pilot1027061","S","Y",600.89990234375,100
"245","List3","pilot1027062","L","N",597.77001953125,100
"246","List3","pilot1027062","L","Y",608.802490234375,95.2380952380952
"247","List3","pilot1027062","S","N",608.345092773438,94.1176470588235
"248","List3","pilot1027062","S","Y",716.55517578125,93.3333333333333
"249","List3","pilot1027063","L","N",610.73486328125,90.9090909090909
"250","List3","pilot1027063","L","Y",547.234985351562,61.5384615384615
"251","List3","pilot1027063","S","N",686.275146484375,93.75
"252","List3","pilot1027063","S","Y",663.790161132812,100
"253","List3","pilot1027064","L","N",575.977416992188,82.3529411764706
"254","List3","pilot1027064","L","Y",556.364990234375,95.6521739130435
"255","List3","pilot1027064","S","N",592.0048828125,93.75
"256","List3","pilot1027064","S","Y",634.1748046875,93.75
"257","List3","pilot1027065","L","N",580.654907226562,100
"258","List3","pilot1027065","L","Y",602.00244140625,100
"259","List3","pilot1027065","S","N",585.4501953125,93.75
"260","List3","pilot1027065","S","Y",594.448486328125,93.75
"261","List3","pilot1027066","L","N",544.107543945312,100
"262","List3","pilot1027066","L","Y",611.409912109375,87.5
"263","List3","pilot1027066","S","N",566.9951171875,93.75
"264","List3","pilot1027066","S","Y",623.555053710938,87.5
"265","List3","pilot1027067","L","N",703.732421875,72.7272727272727
"266","List3","pilot1027067","L","Y",647.722412109375,76.9230769230769
"267","List3","pilot1027067","S","N",512.820068359375,100
"268","List3","pilot1027067","S","Y",646.39453125,93.75
"269","List3","pilot1027068","L","N",612.124877929688,94.1176470588235
"270","List3","pilot1027068","L","Y",567.429931640625,82.6086956521739
"271","List3","pilot1027068","S","N",567.690063476562,100
"272","List3","pilot1027068","S","Y",705.974609375,93.75
"273","List3","pilot1027069","L","N",652.772338867188,93.3333333333333
"274","List3","pilot1027069","L","Y",601.697509765625,75
"275","List3","pilot1027069","S","N",681.054931640625,93.75
"276","List3","pilot1027069","S","Y",667.27001953125,81.25
"277","List3","pilot1027070","L","N",627.864990234375,100
"278","List3","pilot1027070","L","Y",770.085083007812,93.3333333333333
"279","List3","pilot1027070","S","N",576.155029296875,93.75
"280","List3","pilot1027070","S","Y",598.97998046875,93.75
"281","List3","pilot1027071","L","N",551.552490234375,100
"282","List3","pilot1027071","L","Y",547.601318359375,87.5
"283","List3","pilot1027071","S","N",547.741455078125,100
"284","List3","pilot1027071","S","Y",609.91748046875,93.3333333333333
"285","List3","pilot1027072","L","N",668.275146484375,100
"286","List3","pilot1027072","L","Y",610.909912109375,60
"287","List3","pilot1027072","S","N",574.570068359375,100
"288","List3","pilot1027072","S","Y",599,100
"289","List3","pilot1027073","L","N",588.85498046875,83.3333333333333
"290","List3","pilot1027073","L","Y",600.716064453125,85.7142857142857
