"","ID","Size","Orientation","Match","RT","ACC"
"493","pilot1027062","S","V","Y",791.66015625,90
"494","pilot1027063","L","H","N",625.755126953125,87.5
"495","pilot1027063","L","H","Y",528.972534179688,75
"496","pilot1027063","L","V","N",593.169921875,100
"497","pilot1027063","L","V","Y",599.319946289062,40
"498","pilot1027063","S","H","N",740.757446289062,100
"499","pilot1027063","S","H","Y",673.650146484375,100
"500","pilot1027063","S","V","N",528.9951171875,87.5
"501","pilot1027063","S","V","Y",660.969970703125,100
"502","pilot1027064","L","H","N",553.534912109375,84.6153846153846
"503","pilot1027064","L","H","Y",551.217529296875,100
"504","pilot1027064","L","V","N",598.419921875,75
"505","pilot1027064","L","V","Y",588.136352539062,88.8888888888889
"506","pilot1027064","S","H","N",608.8349609375,100
"507","pilot1027064","S","H","Y",512.5,100
"508","pilot1027064","S","V","N",592.0048828125,87.5
"509","pilot1027064","S","V","Y",669.927612304688,90.9090909090909
"510","pilot1027065","L","H","N",580.654907226562,100
"511","pilot1027065","L","H","Y",601.5,100
"512","pilot1027065","L","V","N",609.6474609375,100
"513","pilot1027065","L","V","Y",647.5048828125,100
"514","pilot1027065","S","H","N",583.932495117188,100
"515","pilot1027065","S","H","Y",501.132568359375,100
