"","List","ID","LN_RT","LY_RT","SN_RT","SY_RT","LN_ACC","LY_ACC","SN_ACC","SY_ACC"
"18","List1","pilot1027018",645,620.275146484375,561.822509765625,539.364990234375,86.3636363636364,94.4444444444444,83.3333333333333,95
"19","List1","pilot1027019",628,610.06982421875,580.58251953125,540.657592773438,84.6153846153846,100,92.3076923076923,94.7368421052632
"20","List1","pilot1027020",668.392456054688,633.364990234375,534.52001953125,589.47021484375,85.7142857142857,100,100,89.4736842105263
"21","List1","pilot1027021",620.017578125,558.714965820312,569.580078125,547.95361328125,100,100,85.7142857142857,100
"22","List1","pilot1027022",706.33251953125,516.2548828125,524.760131835938,551.400024414062,100,94.4444444444444,71.4285714285714,88.8888888888889
"23","List1","pilot1027023",659,591.445068359375,472.104736328125,532.91015625,75,83.3333333333333,86.6666666666667,100
"24","List1","pilot1027024",563.465087890625,610.967407226562,603,593.0400390625,90.4761904761905,94.7368421052632,86.6666666666667,94.1176470588235
"25","List1","pilot1027025",662.830078125,524.52490234375,566.115112304688,553.175048828125,91.6666666666667,91.6666666666667,87.5,81.25
"26","List2","pilot1027026",612.069946289062,622.625,519.31494140625,602.9951171875,90,85,81.25,93.75
"27","List2","pilot1027027",622.5,831.110107421875,593.695068359375,614.090087890625,83.3333333333333,83.3333333333333,87.5,93.75
"28","List2","pilot1027028",644.349853515625,706.820068359375,541.74755859375,551.167602539062,89.4736842105263,100,82.3529411764706,93.3333333333333
"29","List2","pilot1027029",692.949951171875,635.194946289062,571.93994140625,649.152465820312,91.6666666666667,100,100,80
"30","List2","pilot1027030",594,631.882446289062,549.692260742188,584.012451171875,89.4736842105263,95.2380952380952,94.1176470588235,93.3333333333333
"31","List2","pilot1027031",630.875,644,620.77490234375,557.0048828125,84.6153846153846,100,100,86.6666666666667
"32","List2","pilot1027032",562.784912109375,617,610.97998046875,584.7275390625,84.2105263157895,100,94.1176470588235,93.3333333333333
"33","List2","pilot1027033",665.470092773438,567.0048828125,499.049926757812,544.117553710938,92.3076923076923,100,94.1176470588235,93.3333333333333
"34","List2","pilot1027034",621.110107421875,582.690063476562,583.865112304688,518.407470703125,75,90,100,87.5
"35","List2","pilot1027035",620.990234375,647.5,523.444946289062,533.0048828125,84.6153846153846,100,100,81.25
"36","List2","pilot1027036",597.905029296875,614.974975585938,593.709838867188,548.1650390625,94.7368421052632,95.2380952380952,100,87.5
"37","List2","pilot1027037",735.112548828125,683,546,573.699951171875,92.3076923076923,100,93.75,93.75
"38","List2","pilot1027038",645.39501953125,575.43505859375,681.760009765625,508.484985351562,89.4736842105263,90.4761904761905,87.5,87.5
"39","List2","pilot1027039",688.5849609375,529.1650390625,603.387451171875,571.85009765625,100,100,100,93.75
"40","List2","pilot1027040",657.914916992188,583.00244140625,626.284912109375,598.777465820312,88.8888888888889,90.9090909090909,86.6666666666667,82.3529411764706
"41","List2","pilot1027041",646.4501953125,576.047485351562,566.429931640625,538,84.6153846153846,90.9090909090909,80,100
"42","List2","pilot1027042",621.639892578125,530.10498046875,649.49755859375,526.93505859375,89.4736842105263,90.4761904761905,93.3333333333333,88.2352941176471
"43","List2","pilot1027043",641.829956054688,719.910034179688,554.05517578125,563.792602539062,92.3076923076923,90.9090909090909,100,82.3529411764706
"44","List2","pilot1027044",605.597534179688,617.625,597.58984375,569.465087890625,94.7368421052632,85.7142857142857,73.3333333333333,100
"45","List2","pilot1027045",577.142456054688,725.040283203125,529.384887695312,577.877563476562,92.3076923076923,81.8181818181818,82.3529411764706,93.3333333333333
"46","List2","pilot1027046",555.875,631,695.117431640625,586.43505859375,95,95,87.5,100
"47","List2","pilot1027047",570.030029296875,666.199951171875,595.5,585.9599609375,84.6153846153846,81.8181818181818,94.1176470588235,100
"48","List2","pilot1027048",633,588.344970703125,651.0048828125,616.0048828125,95,95,100,100
"49","List2","pilot1027049",628.340087890625,616.2099609375,545.530029296875,651.222534179688,91.6666666666667,91.6666666666667,94.4444444444444,100
"50","List2","pilot1027050",588.0048828125,637.577514648438,527.5,627.945068359375,85,100,100,85.7142857142857
"51","List3","pilot1027051",631.985107421875,548.139892578125,544.744873046875,593.449951171875,91.6666666666667,91.6666666666667,100,100
"52","List3","pilot1027052",547.369995117188,634.702514648438,574.199951171875,603,90,90,100,100
"53","List3","pilot1027053",595,557.440185546875,672.875,501.067626953125,100,100,95,83.3333333333333
"54","List3","pilot1027054",555.717407226562,572.357177734375,613.72998046875,624.0048828125,85.7142857142857,94.7368421052632,95,100
"55","List3","pilot1027055",563,587.920166015625,621.0712890625,590.0048828125,78.5714285714286,90,94.7368421052632,92.3076923076923
"56","List3","pilot1027056",581.85986328125,664,570.322509765625,618.9951171875,77.2727272727273,94.4444444444444,94.7368421052632,100
"57","List3","pilot1027057",520.574951171875,559.739990234375,699.31005859375,519.497436523438,84.6153846153846,81.8181818181818,100,100
"58","List3","pilot1027058",575.482421875,608.010009765625,571.997436523438,607.914916992188,72.7272727272727,100,84.2105263157895,92.3076923076923
"59","List3","pilot1027059",578.835083007812,592.530029296875,670.260009765625,550.2900390625,83.3333333333333,91.6666666666667,100,100
"60","List3","pilot1027060",580.059814453125,625.367431640625,593.367553710938,608.9326171875,85,70,77.7777777777778,100
"61","List3","pilot1027061",609.985107421875,632.199951171875,654.472534179688,600.89990234375,91.6666666666667,91.6666666666667,94.1176470588235,100
"62","List3","pilot1027062",597.77001953125,608.802490234375,608.345092773438,716.55517578125,100,95.2380952380952,94.1176470588235,93.3333333333333
"63","List3","pilot1027063",610.73486328125,547.234985351562,686.275146484375,663.790161132812,90.9090909090909,61.5384615384615,93.75,100
"64","List3","pilot1027064",575.977416992188,556.364990234375,592.0048828125,634.1748046875,82.3529411764706,95.6521739130435,93.75,93.75
"65","List3","pilot1027065",580.654907226562,602.00244140625,585.4501953125,594.448486328125,100,100,93.75,93.75
"66","List3","pilot1027066",544.107543945312,611.409912109375,566.9951171875,623.555053710938,100,87.5,93.75,87.5
"67","List3","pilot1027067",703.732421875,647.722412109375,512.820068359375,646.39453125,72.7272727272727,76.9230769230769,100,93.75
"68","List3","pilot1027068",612.124877929688,567.429931640625,567.690063476562,705.974609375,94.1176470588235,82.6086956521739,100,93.75
"69","List3","pilot1027069",652.772338867188,601.697509765625,681.054931640625,667.27001953125,93.3333333333333,75,93.75,81.25
